TicketID,Name,RollNumber,Location,IssueDescription,Date,Time,Status,Priority
TCKT-0001,Arjun R,CS101,hostel,water leakage in bathroom,2025-09-01,09:15:00,Open,5
TCKT-0002,Sneha K,CS102,lift,lift malfunctioning frequently,2025-09-01,10:30:00,In Progress,5
TCKT-0003,Rahul P,ME201,lab,computer overheating during practicals,2025-09-01,11:00:00,Open,4
TCKT-0004,Ayesha M,EC301,classroom,projector not working,2025-09-01,11:20:00,Closed,2
TCKT-0005,Kiran S,CS101,hostel,fan not working properly,2025-09-01,12:10:00,In Progress,3
TCKT-0006,Neha T,EE202,lab,loose electrical wiring near desks,2025-09-01,12:45:00,Open,5
TCKT-0007,Rohit V,ME201,ground,water logging after rain,2025-09-01,13:30:00,Open,2
TCKT-0008,Priya D,CS103,canteen,unhygienic food preparation area,2025-09-01,14:00:00,In Progress,5
TCKT-0009,Aditya N,EC301,staircase,broken handrail causing safety risk,2025-09-01,14:20:00,Open,5
TCKT-0010,Anjali R,CS102,classroom,AC not functioning,2025-09-01,15:00:00,Closed,2
TCKT-0011,Vikram J,ME202,lab,malfunctioning lab equipment,2025-09-01,15:40:00,In Progress,4
TCKT-0012,Farah S,EE202,hostel,room lights flickering,2025-09-01,16:10:00,Open,3
TCKT-0013,Manish K,CS104,lift,lift doors not closing properly,2025-09-01,16:30:00,In Progress,5
TCKT-0014,Zoya A,EC302,washroom,water leakage from ceiling,2025-09-01,17:00:00,Open,4
TCKT-0015,Amit P,ME203,canteen,insufficient seating space,2025-09-01,17:20:00,Closed,2
TCKT-0016,Riya M,CS103,classroom,broken chairs,2025-09-01,18:00:00,Open,2
TCKT-0017,Nikhil S,EE203,lab,network not working,2025-09-01,18:30:00,In Progress,3
TCKT-0018,Simran K,CS101,hostel,unhygienic washroom conditions,2025-09-01,19:00:00,Open,5
TCKT-0019,Karthik R,ME201,ground,sports lights not working,2025-09-01,19:30:00,Open,2
TCKT-0020,Pooja N,EC302,classroom,mic system not functioning,2025-09-01,20:00:00,Closed,2
TCKT-0021,Sahil D,CS104,lab,software tools crashing frequently,2025-09-01,20:30:00,In Progress,3
TCKT-0022,Isha V,EE202,staircase,poor lighting at night,2025-09-01,21:00:00,Open,3
TCKT-0023,Ramesh L,ME202,canteen,water dispenser not working,2025-09-01,21:20:00,Open,3
TCKT-0024,Ananya G,CS102,hostel,door lock broken,2025-09-01,21:40:00,Open,3
TCKT-0025,Dev P,EC301,lift,lift shaking during operation,2025-09-01,22:00:00,In Progress,5
